LAT_BIN,LON_BIN,count
-75,-175,142
-75,-165,267
-75,-155,186
-75,-145,78
-75,-135,27
-75,-105,99
-75,-95,10
-75,-35,14
-75,-25,13
-75,-15,12
-75,165,5
-75,175,142
-65,-175,303
-65,-165,423
-65,-155,405
-65,-145,441
-65,-135,356
-65,-125,253
-65,-115,273
-65,-105,248
-65,-95,274
-65,-85,264
-65,-75,162
-65,-65,107
-65,-55,92
-65,-45,137
-65,-35,433
-65,-25,260
-65,-15,198
-65,-5,222
-65,5,604
-65,15,169
-65,25,171
-65,35,43
-65,45,9
-65,55,79
-65,65,114
-65,75,78
-65,85,220
-65,95,160
-65,105,43
-65,115,229
-65,125,117
-65,135,142
-65,145,184
-65,155,283
-65,165,504
-65,175,472
-55,-175,329
-55,-165,287
-55,-155,291
-55,-145,472
-55,-135,321
-55,-125,303
-55,-115,200
-55,-105,155
-55,-95,120
-55,-85,113
-55,-75,73
-55,-65,102
-55,-55,261
-55,-45,266
-55,-35,299
-55,-25,204
-55,-15,123
-55,-5,138
-55,5,222
-55,15,231
-55,25,96
-55,35,335
-55,45,129
-55,55,214
-55,65,1156
-55,75,927
-55,85,1123
-55,95,1285
-55,105,439
-55,115,357
-55,125,392
-55,135,312
-55,145,389
-55,155,398
-55,165,343
-55,175,218
-45,-175,128
-45,-165,258
-45,-155,244
-45,-145,292
-45,-135,191
-45,-125,70
-45,-115,63
-45,-105,105
-45,-95,112
-45,-85,45
-45,-75,54
-45,-55,245
-45,-45,180
-45,-35,155
-45,-25,353
-45,-15,295
-45,-5,220
-45,5,499
-45,15,277
-45,25,224
-45,35,489
-45,45,308
-45,55,379
-45,65,507
-45,75,2000
-45,85,629
-45,95,999
-45,105,496
-45,115,335
-45,125,163
-45,135,650
-45,145,2134
-45,155,553
-45,165,55
-45,175,71
-35,-175,185
-35,-165,212
-35,-155,458
-35,-145,201
-35,-135,157
-35,-115,183
-35,-105,243
-35,-95,143
-35,-85,400
-35,-75,261
-35,-55,29
-35,-45,243
-35,-35,262
-35,-25,417
-35,-15,309
-35,-5,394
-35,5,628
-35,15,612
-35,25,182
-35,35,344
-35,45,102
-35,55,169
-35,65,61
-35,75,151
-35,85,124
-35,95,295
-35,105,1071
-35,115,282
-35,125,177
-35,135,93
-35,145,36
-35,155,686
-35,165,118
-35,175,42
-25,-175,193
-25,-165,40
-25,-155,189
-25,-145,246
-25,-135,31
-25,-125,41
-25,-115,30
-25,-105,181
-25,-95,43
-25,-85,40
-25,-75,13
-25,-45,44
-25,-35,656
-25,-25,1706
-25,-15,419
-25,-5,144
-25,5,41
-25,15,32
-25,35,19
-25,45,125
-25,55,251
-25,65,77
-25,75,527
-25,85,197
-25,95,129
-25,105,567
-25,115,121
-25,155,227
-25,175,18
-15,-175,531
-15,-155,93
-15,-145,159
-15,-135,30
-15,-125,69
-15,-115,197
-15,-105,68
-15,-95,48
-15,-85,27
-15,-75,1
-15,-35,219
-15,-25,1289
-15,-15,16
-15,-5,3
-15,5,17
-15,15,118
-15,35,9
-15,45,198
-15,55,272
-15,65,110
-15,75,247
-15,85,263
-15,95,19
-15,105,27
-15,115,173
-15,125,107
-15,145,274
-15,155,222
-15,165,26
-15,175,33
-5,-175,42
-5,-165,127
-5,-155,42
-5,-145,1011
-5,-135,506
-5,-125,464
-5,-115,123
-5,-105,18
-5,-95,53
-5,-35,28
-5,-25,222
-5,-15,510
-5,-5,79
-5,5,140
-5,45,82
-5,55,160
-5,65,223
-5,75,598
-5,85,904
-5,95,226
-5,105,4
-5,145,58
-5,155,39
-5,165,16
-5,175,27
5,-175,372
5,-165,470
5,-155,129
5,-145,278
5,-135,433
5,-125,228
5,-115,221
5,-105,42
5,-95,38
5,-55,49
5,-45,108
5,-35,15
5,-25,887
5,-15,406
5,-5,295
5,5,24
5,45,18
5,55,100
5,65,173
5,75,419
5,85,1078
5,95,355
5,145,3
5,155,95
5,165,170
5,175,210
15,-165,3
15,-155,148
15,-145,81
15,-135,161
15,-125,118
15,-115,416
15,-105,365
15,-95,146
15,-75,49
15,-65,167
15,-55,161
15,-45,235
15,-35,494
15,-25,1901
15,-15,138
15,25,1
15,45,55
15,55,245
15,65,4080
15,75,541
15,85,1601
15,95,920
15,125,158
15,135,69
15,145,458
15,155,146
25,-175,1
25,-165,322
25,-155,1034
25,-145,194
25,-135,87
25,-125,113
25,-115,105
25,-105,69
25,-95,116
25,-85,133
25,-75,128
25,-65,661
25,-55,614
25,-45,514
25,-35,383
25,-25,322
25,-15,18
25,25,1
25,35,269
25,55,7
25,65,559
25,125,40
25,135,414
25,145,208
25,155,267
25,165,139
25,175,112
35,-175,40
35,-165,12
35,-155,73
35,-145,44
35,-135,139
35,-125,1346
35,-115,44
35,-85,3
35,-75,178
35,-65,331
35,-55,173
35,-45,69
35,-35,79
35,-25,444
35,-15,126
35,-5,71
35,5,400
35,15,1652
35,25,3076
35,35,501
35,125,7
35,135,112
35,145,497
35,155,315
35,165,253
35,175,78
45,-175,84
45,-155,64
45,-145,322
45,-135,63
45,-125,337
45,-65,76
45,-55,56
45,-45,151
45,-35,84
45,-25,289
45,-15,307
45,-5,3
45,5,2830
45,15,999
45,25,319
45,35,1536
45,45,104
45,145,104
45,155,706
45,165,684
45,175,180
55,-175,34
55,-165,16
55,-155,29
55,-145,468
55,-135,261
55,-55,530
55,-45,958
55,-35,438
55,-25,314
55,-15,335
55,-5,30
55,15,1568
55,25,1239
55,155,11
55,165,264
55,175,22
65,-65,1061
65,-55,233
65,-45,52
65,-35,508
65,-25,461
65,-15,380
65,-5,2042
65,5,1522
65,15,267
65,25,111
75,-75,12
75,-65,1495
75,-15,428
75,-5,1137
75,5,1454
75,15,190
75,25,189
75,35,50
85,5,11
NA,NA,755
