WMO,Cycle,Category
5903887_plot,237,1
6901578_plot,15,1
6901578_plot,269,1
6901578_plot,209,1
6901578_plot,258,1
6901578_plot,334,1
6901578_plot,328,1
6901578_plot,329,1
6901578_plot,207,1
6901578_plot,264,1
6901578_plot,127,1
6901578_plot,48,0
6901578_plot,249,1
6901578_plot,276,1
6901578_plot,14,1
6901578_plot,325,1
6901578_plot,357,1
6901484_plot,36,1
6901484_plot,12,1
6901484_plot,5,1
6901484_plot,24,1
6901765_plot,191,1
6901765_plot,133,1
3901497_plot,191,0
5904980_plot,93,2
5904980_plot,67,1
5904980_plot,106,0
5904980_plot,70,2
6902549_plot,27,0
6902549_plot,46,0
6902549_plot,18,1
6902549_plot,35,1
6902549_plot,43,1
6902549_plot,39,1
6902549_plot,179,1
6902549_plot,42,1
6902549_plot,187,1
6902549_plot,37,1
6902549_plot,237,1
6902549_plot,38,1
5906032_plot,79,0
5906032_plot,88,1
5906032_plot,110,0
5905982_plot,117,1
5905982_plot,115,1
5905982_plot,70,1
5905982_plot,119,1
4903365_plot,8,0
4903365_plot,96,0
4903365_plot,2,0
4903365_plot,98,1
4903365_plot,85,1
4903365_plot,49,0
4903365_plot,38,1
4903365_plot,100,0
4903365_plot,3,0
4903365_plot,39,0
4903365_plot,51,1
4903365_plot,44,0
4903365_plot,13,1
4903365_plot,111,1
4903365_plot,25,1
4903365_plot,26,1
4903365_plot,15,1
4903365_plot,77,1
4903365_plot,45,1
4903365_plot,75,0
4903365_plot,83,1
4903365_plot,99,1
4903365_plot,16,1
6901775_plot,58,1
6901775_plot,248,1
6901775_plot,96,1
6901775_plot,74,1
6903549_plot,37,1
5906043_plot,8,1
5906043_plot,7,1
5905371_plot,92,0
5905371_plot,109,1
5905371_plot,126,1
5905371_plot,134,1
5905371_plot,122,1
5905371_plot,44,1
5905371_plot,42,1
5905371_plot,47,1
5905371_plot,73,1
5905371_plot,68,2
5905371_plot,74,1
5905371_plot,127,1
5905371_plot,128,1
5906545_plot,10,0
5905991_plot,82,0
5906636_plot,108,0
5906636_plot,10,1
5906636_plot,116,1
5906206_plot,104,1
5906206_plot,83,1
5906206_plot,118,1
2903465_plot,39,0
2903465_plot,42,1
2903465_plot,1,0
5904676_plot,139,1
5904676_plot,22,1
5904676_plot,5,1
5904676_plot,141,0
5904676_plot,58,1
5904676_plot,24,1
5904676_plot,23,1
5904676_plot,35,1
6901512_plot,134,1
6901512_plot,128,1
6901512_plot,138,1
6901512_plot,104,1
6901512_plot,129,1
6901512_plot,137,1
5904678_plot,132,1
5904678_plot,29,1
5904678_plot,127,1
5904678_plot,36,1
5904678_plot,122,1
5906552_plot,9,1
5906552_plot,16,1
5906552_plot,61,1
5906552_plot,14,1
6901767_plot,179,1
2903473_plot,2,1
5906317_plot,101,1
5906317_plot,25,1
5906317_plot,63,1
5906317_plot,35,1
5906317_plot,62,1
5906317_plot,28,1
5906317_plot,97,1
5906317_plot,108,1
5906317_plot,77,1
5906317_plot,33,1
5906317_plot,41,1
5906317_plot,81,1
5906317_plot,76,1
5906317_plot,21,1
5906317_plot,127,1
5906317_plot,24,1
5906317_plot,29,1
5906317_plot,26,1
5906317_plot,121,1
5905070_plot,47,1
5905070_plot,52,1
5905377_plot,66,1
5905377_plot,144,1
5905377_plot,138,1
5905377_plot,141,1
5905377_plot,147,1
5905377_plot,140,1
5905377_plot,134,1
5905377_plot,136,1
5905377_plot,142,1
5903718_plot,136,1
5903718_plot,135,1
5903718_plot,160,1
5903718_plot,33,0
5903718_plot,106,1
5903718_plot,114,1
5903718_plot,172,1
5903718_plot,139,1
5903718_plot,108,1
5903718_plot,141,1
5906972_plot,53,1
6902739_plot,236,1
6902739_plot,238,1
4903757_plot,9,1
5906303_plot,49,1
5906562_plot,33,1
5906562_plot,17,1
5906562_plot,59,1
5906562_plot,19,1
5906562_plot,16,1
5906562_plot,23,1
6902905_plot,358,1
6902905_plot,201,1
6902905_plot,219,1
6902905_plot,232,1
6902905_plot,199,1
6902905_plot,398,1
6902905_plot,234,1
6902905_plot,235,1
6902905_plot,410,1
6902905_plot,233,1
6902905_plot,267,1
5906000_plot,87,1
5906000_plot,84,1
5906000_plot,65,1
5905368_plot,79,1
5905368_plot,74,1
6901764_plot,172,1
