WMO,CYCLE_NUMBER,Category,bin,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM
1901339,112,3,6,220,-47.565,76.385,2014-03-05,111.98999786376952,0
1901339,376,2,11,420,-49.143,77.428,2014-05-20,102.15999603271484,1
1901339,410,1,10,380,-48.596,79.253,2014-05-30,141.35000610351562,1
1901339,431,2,12,460,-48.381,78.683,2014-06-05,111.6300048828125,1
1901339,448,2,11,420,-47.86,79.026,2014-06-10,161.52000427246094,1
1901339,465,0,11,420,-48.303,79.865,2014-06-15,121.87000274658205,1
1901339,481,2,10,380,-47.991,80.728,2014-06-20,141.8699951171875,1
1901339,513,1,8,300,-49.418,81.718,2014-06-30,129.55999755859375,1
1901339,529,1,11,420,-48.888,81.286,2014-07-05,161.83999633789062,1
1901339,529,1,12,460,-48.888,81.286,2014-07-05,161.83999633789062,1
1901339,560,1,11,420,-47.669562978380185,82.81673617098325,2014-07-15,121.47999572753906,1
1901339,576,1,13,500,-47.387,83.937,2014-07-20,211.75,1
1901339,605,3,11,420,-48.30194965025114,85.64162098023594,2014-07-30,191.1499938964844,1
1901339,623,1,12,460,-48.43762908258566,86.52648456117477,2014-08-05,331.05999755859375,0
1901339,623,1,13,500,-48.43762908258566,86.52648456117477,2014-08-05,331.05999755859375,0
1901339,637,1,12,460,-47.99436561384724,87.77439393342381,2014-08-10,311.760009765625,0
1901339,652,2,14,540,-47.941,89.009,2014-08-15,281.32000732421875,1
1901339,682,1,14,540,-47.204,88.855,2014-08-25,301.4700012207031,0
1901339,682,1,16,620,-47.204,88.855,2014-08-25,301.4700012207031,0
1902332,1,0,6,220,-12.028,79.912,2019-12-18,132.0800018310547,1
1902332,2,1,6,220,-12,79.837,2019-12-19,136.61000061035156,1
1902332,2,1,7,260,-12,79.837,2019-12-19,136.61000061035156,1
1902332,3,1,6,220,-11.959,79.762,2019-12-20,141.58999633789062,1
1902332,3,1,7,260,-11.959,79.762,2019-12-20,141.58999633789062,1
