WMO,Cycle,Category,CYCLE_NUMBER
1901339,112,3,112
1901339,178,4,178
1901339,325,2,325
1901339,376,2,376
1901339,410,1,410
1901339,431,2,431
1901339,448,2,448
1901339,465,0,465
1901339,481,2,481
1901339,513,1,513
1901339,529,1,529
1901339,536,4,536
1901339,560,1,560
1901339,576,1,576
1901339,605,3,605
1901339,623,1,623
1901339,637,1,637
1901339,652,2,652
1901339,682,1,682
1901348,52,2,52
1901348,56,2,56
1902332,178,0,178
1902332,1,0,1
1902332,176,0,176
1902332,10,2,10
1902332,188,0,188
1902332,100,1,100
1902332,189,3,189
1902332,101,2,101
1902332,198,2,198
1902332,102,1,102
1902332,2,1,2
1902332,103,2,103
1902332,201,0,201
1902332,104,2,104
1902332,23,0,23
1902332,107,2,107
1902332,24,3,24
1902332,11,2,11
1902332,25,3,25
1902332,110,2,110
1902332,26,2,26
1902332,112,2,112
1902332,28,2,28
1902332,113,1,113
1902332,29,2,29
1902332,117,2,117
1902332,3,2,3
1902332,118,2,118
1902332,30,2,30
1902332,12,2,12
1902332,31,1,31
1902332,124,2,124
1902332,32,2,32
1902332,125,2,125
1902332,37,2,37
1902332,143,1,143
1902332,39,2,39
1902332,144,0,144
1902332,4,2,4
1902332,146,1,146
1902332,48,1,48
1902332,147,2,147
1902332,49,0,49
1902332,148,3,148
1902332,5,2,5
1902332,149,2,149
1902332,50,0,50
1902332,15,2,15
1902332,51,0,51
1902332,150,0,150
1902332,52,0,52
1902332,151,0,151
1902332,53,0,53
1902332,152,0,152
1902332,56,0,56
1902332,153,3,153
1902332,58,1,58
1902332,154,2,154
1902332,59,1,59
1902332,155,1,155
1902332,6,2,6
1902332,156,1,156
1902332,60,1,60
1902332,157,0,157
1902332,65,1,65
1902332,158,2,158
1902332,67,0,67
1902332,159,1,159
1902332,8,1,8
1902332,16,2,16
1902332,84,0,84
1902332,160,1,160
1902332,87,0,87
1902332,161,0,161
1902332,89,0,89
1902332,164,0,164
1902332,95,0,95
1902332,165,0,165
1902332,96,0,96
1902332,172,0,172
1902332,175,0,175
1902332,190,0,190
1902332,194,0,194
1902332,195,0,195
1902332,197,0,197
1902380,3,2,3
1902380,4,2,4
1902380,43,0,43
1902380,5,2,5
1902380,75,0,75
1902380,80,2,80
1902380,81,0,81
1902381,45,2,45
1902382,16,2,16
1902382,17,0,17
1902382,47,0,47
1902382,55,1,55
1902382,74,1,74
1902382,80,0,80
1902382,81,2,81
1902382,82,0,82
1902382,9,0,9
1902384,16,2,16
1902384,32,0,32
1902384,58,3,58
1902384,83,0,83
1902453,2,2,2
1902453,24,3,24
1902454,25,3,25
1902454,32,0,32
1902455,10,0,10
1902455,11,0,11
1902455,3,0,3
1902455,34,0,34
1902457,14,0,14
1902457,19,0,19
1902457,22,0,22
1902457,30,0,30
1902457,5,0,5
1902593,1,0,1
1902593,10,0,10
1902593,11,0,11
1902593,12,0,12
1902593,13,0,13
1902593,14,2,14
1902593,15,0,15
1902593,21,1,21
1902593,26,0,26
1902593,27,0,27
1902593,28,0,28
1902593,29,0,29
1902593,33,2,33
1902593,34,2,34
1902593,35,0,35
1902593,36,0,36
1902593,37,0,37
1902593,39,2,39
1902593,43,0,43
1902593,44,0,44
1902593,46,2,46
1902593,47,1,47
1902593,48,2,48
1902593,5,0,5
1902593,7,0,7
1902644,14,0,14
1902646,13,0,13
1902646,18,0,18
2902091,3,0,3
