WMO,Cycle,Category
5904685,50,0
5904685,41,0
5904685,94,0
5904685,72,0
5904685,52,0
5904685,130,0
5904685,99,0
5904685,96,0
5904685,95,0
5904685,20,0
5904685,67,0
5904685,71,0
5904685,76,0
5904685,144,0
5904685,98,0
5904685,37,0
5904685,1,0
5904685,103,0
5904685,2,0
5904685,78,0
4903748,21,0
4903748,9,0
4903748,16,0
4903748,4,0
4903748,3,0
4903748,28,0
4903748,10,0
4903748,14,0
4903748,1,0
4903748,15,0
4903748,5,0
4903748,8,0
4903748,6,0
4903748,24,0
4903748,17,0
4903748,20,0
4903748,22,0
4903748,26,0
4903748,7,0
4903748,23,0
1902456,13,0
1902456,4,0
1902456,33,0
1902456,2,0
1902456,8,0
1902456,18,0
1902456,44,0
1902456,28,0
1902456,37,0
1902456,25,0
1902456,24,0
1902456,19,0
1902456,20,0
1902456,38,0
1902456,9,0
1902456,16,0
1902456,14,0
1902456,39,0
1902456,26,0
1902456,32,0
1902646,10,0
1902646,2,0
1902646,24,0
1902646,7,0
1902646,11,0
1902646,8,0
1902646,16,0
1902646,18,0
1902646,21,0
1902646,17,0
1902646,25,0
1902646,19,0
1902646,9,0
1902646,23,0
1902646,6,0
1902646,20,0
1902646,27,0
1902646,5,0
1902646,12,0
5903887,38,0
5903887,204,0
5903887,258,0
5903887,56,1
5903887,156,0
5903887,276,0
5903887,273,0
5903887,178,0
5903887,111,0
5903887,97,0
5903887,134,0
5903887,151,0
5903887,91,0
5903887,138,0
5903887,141,0
5903887,291,0
5903887,2,0
5903887,87,0
5903887,240,0
5903887,122,0
4903499,64,0
4903499,58,0
4903499,2,0
4903499,20,0
4903499,8,0
4903499,49,0
4903499,14,0
4903499,27,0
4903499,55,0
4903499,10,0
4903499,13,0
4903499,30,0
4903499,68,0
4903499,23,0
4903499,1,0
4903499,31,0
4903499,63,0
4903499,42,0
4903499,29,0
4903499,35,0
5904180,192,0
5904180,172,0
5904180,6,0
5904180,105,0
5904180,37,0
5904180,161,0
5904180,162,0
5904180,185,0
5904180,44,0
5904180,87,0
5904180,138,0
5904180,32,0
5904180,166,0
5904180,78,0
5904180,151,0
5904180,208,0
5904180,112,0
5904180,150,0
5904180,217,0
5904180,19,0
5903592,53,0
5903592,73,0
5903592,75,0
5903592,11,0
5903592,91,0
5903592,84,0
5903592,28,2
5903592,103,0
5903592,57,2
5903592,25,0
5903592,78,0
5903592,96,0
5903592,62,0
5903592,88,0
5903592,106,0
5903592,74,0
5903592,100,0
5903592,5,0
5903592,90,0
5903592,30,0
4903365,11,1
4903365,57,0
4903365,24,0
4903365,69,0
4903365,38,2
4903365,31,0
4903365,102,0
4903365,106,1
4903365,25,0
4903365,6,0
4903365,40,0
4903365,15,1
4903365,45,1
4903365,37,0
4903365,75,1
4903365,89,2
4903365,92,0
4903365,50,2
4903365,33,0
4903365,107,0
4903745,23,0
4903745,9,0
4903745,28,0
4903745,29,0
4903745,16,0
4903745,4,0
4903745,12,0
4903745,5,0
4903745,3,0
4903745,17,0
4903745,8,0
4903745,35,0
4903745,30,0
4903745,31,0
4903745,32,0
4903745,11,0
4903745,24,0
4903745,20,0
4903745,7,0
4903745,13,0
2903472,31,0
2903472,16,0
2903472,24,0
2903472,6,0
2903472,21,0
2903472,4,0
2903472,1,0
2903472,12,0
2903472,22,0
2903472,29,0
2903472,13,0
2903472,3,0
2903472,2,0
2903472,9,0
2903472,10,0
2903472,26,0
2903472,7,0
2903472,18,0
2903472,17,0
2903472,15,0
1902380,5,1
1902380,71,0
1902380,23,0
1902380,87,0
1902380,59,0
1902380,8,0
1902380,43,0
1902380,48,0
1902380,68,0
1902380,42,0
1902380,4,1
1902380,20,0
1902380,29,0
1902380,69,0
1902380,44,0
1902380,76,0
1902380,77,0
1902380,82,0
1902380,9,0
1902380,91,0
4903026,188,0
4903026,293,0
4903026,85,0
4903026,84,0
4903026,68,0
4903026,5,0
4903026,94,0
4903026,216,0
4903026,235,0
4903026,244,1
4903026,282,0
4903026,260,0
4903026,21,0
4903026,40,0
4903026,166,0
4903026,165,0
4903026,246,0
4903026,45,0
4903026,183,0
2903465,15,0
2903465,5,0
2903465,41,1
2903465,16,0
2903465,3,0
2903465,24,1
2903465,8,0
2903465,19,0
2903465,29,0
2903465,33,0
2903465,14,0
2903465,36,0
2903465,6,0
2903465,13,0
2903465,7,0
2903465,30,0
2903465,40,0
2903465,10,0
2903465,4,0
2903465,22,0
5904395,98,0
5904395,136,0
5904395,70,0
5904395,43,0
5904395,126,0
5904395,112,0
5904395,170,0
5904395,5,0
5904395,75,0
5904395,23,0
5904395,165,0
5904395,123,0
5904395,147,0
5904395,139,0
5904395,18,0
5904395,146,0
5904395,44,0
5904395,42,0
5904395,166,0
5904395,17,0
