WMO,Cycle,Category
4903622,17,0
4903622,23,0
4903622,61,0
4903622,40,0
4903622,87,0
4903622,53,0
4903622,59,0
4903622,21,0
4903622,51,0
4903622,31,0
4903622,6,0
4903622,45,2
4903622,24,0
4903622,85,0
4903622,30,0
4903622,81,0
4903622,27,0
4903622,43,0
4903622,72,0
4903622,5,0
4903622,58,0
4903622,54,0
4903622,66,0
4903622,69,0
4903622,46,0
4903622,42,0
4903622,36,0
4903622,63,0
4903622,11,0
4903622,99,0
4903622,12,0
4903622,7,0
4903622,92,0
4903622,44,0
4903622,79,0
4903622,49,0
4903622,64,0
4903622,15,0
4903622,97,0
4903622,101,0
4903622,22,0
4903622,52,0
4903622,35,0
4903622,73,0
4903622,9,0
4903622,18,0
4903622,84,0
4903622,37,0
4903622,90,0
4903622,88,0
4903622,38,0
4903622,75,0
4903622,83,0
4903622,3,0
4903622,65,0
4903622,82,0
4903622,94,0
4903622,8,0
4903622,89,0
4903622,57,0
4903622,1,0
4903622,103,0
4903622,13,0
4903622,10,0
4903622,74,0
4903622,39,0
4903622,62,0
4903622,2,2
4903622,34,0
4903622,102,0
4903622,70,0
4903622,68,0
4903622,77,0
4903622,50,0
4903622,26,0
4903622,98,0
4903622,56,0
4903622,60,0
4903622,78,0
4903622,47,0
4903622,93,0
4903622,29,0
4903622,55,0
4903622,14,0
4903622,32,0
4903622,4,0
4903622,86,0
4903622,80,0
4903622,28,0
4903622,16,0
4903622,19,0
4903622,41,0
4903622,20,0
4903622,96,0
4903622,25,0
4903622,76,0
4903622,48,0
4903622,91,0
4903622,67,0
4903622,33,0
1902303,45,0
1902303,36,0
1902303,54,0
1902303,5,0
1902303,7,0
1902303,12,0
1902303,61,0
1902303,2,0
1902303,38,0
1902303,18,0
1902303,63,0
1902303,23,0
1902303,32,0
1902303,48,0
1902303,13,0
1902303,6,0
1902303,4,0
1902303,16,0
1902303,33,0
1902303,47,0
1902303,15,0
1902303,14,0
1902303,64,0
1902303,55,0
1902303,53,0
1902303,49,0
1902303,31,0
1902303,28,0
1902303,3,0
1902303,46,0
1902303,27,0
1902303,19,0
1902303,50,0
1902303,22,3
1902303,11,0
1902303,20,0
1902303,26,0
1902303,34,0
1902303,62,0
1902303,17,0
1902303,44,0
1902303,10,0
1902303,8,3
1902303,57,0
1902303,42,0
1902303,56,0
1902303,43,0
1902303,24,0
1902303,65,0
1902303,1,0
1902303,35,0
1902303,40,0
1902303,52,0
1902303,59,0
1902303,66,0
1902303,51,0
1902303,41,0
1902303,25,0
1902303,58,0
1902303,21,0
4903273,43,0
4903273,24,0
4903273,84,0
4903273,33,0
4903273,46,0
4903273,26,0
4903273,8,0
4903273,108,0
4903273,70,0
4903273,76,0
4903273,74,0
4903273,58,0
4903273,31,0
4903273,72,0
4903273,73,0
4903273,66,0
4903273,22,0
4903273,86,0
4903273,56,0
4903273,5,0
4903273,69,0
4903273,85,0
4903273,110,0
4903273,64,0
4903273,75,0
4903273,48,0
4903273,79,0
4903273,97,0
4903273,87,0
4903273,4,0
4903273,55,0
4903273,57,0
4903273,94,0
4903273,91,0
4903273,42,0
4903273,2,0
4903273,40,0
4903273,93,0
4903273,20,0
4903273,37,0
4903273,96,0
4903273,95,0
4903273,65,0
4903273,23,0
4903273,90,0
4903273,32,0
4903273,30,0
4903273,49,0
4903273,15,0
4903273,62,0
4903273,59,0
4903273,88,0
4903273,71,0
4903273,52,0
4903273,45,0
4903273,12,0
4903273,39,0
4903273,107,0
4903273,11,0
4903273,54,0
4903273,47,0
4903273,7,0
4903273,92,0
4903273,89,0
4903273,51,0
4903273,111,0
4903273,38,0
4903273,25,0
4903273,83,0
4903273,21,0
4903273,60,0
4903273,67,0
4903273,104,0
4903273,103,0
4903273,29,0
4903273,3,0
4903273,36,0
4903273,63,0
4903273,9,0
4903273,18,0
4903273,1,0
4903273,28,0
4903273,10,0
4903273,98,0
4903273,106,0
4903273,50,0
4903273,109,0
4903273,61,0
4903273,17,0
4903273,13,0
4903273,77,0
4903273,41,0
4903273,99,0
4903273,101,0
4903273,34,0
4903273,81,0
4903273,14,0
4903273,44,0
4903273,78,0
4903273,35,0
4903365,26,3
4903365,83,3
4903365,82,0
4903365,79,3
4903365,2,0
4903365,29,3
4903365,96,1
4903365,23,0
4903365,61,0
4903365,55,3
4903365,104,1
4903365,27,0
4903365,59,3
4903365,87,0
4903365,36,0
4903365,75,1
4903365,42,0
4903365,14,3
4903365,58,3
4903365,48,1
4903365,19,0
4903365,11,1
4903365,77,1
4903365,72,3
4903365,67,0
4903365,66,3
4903365,20,0
4903365,86,1
4903365,101,0
4903365,92,0
4903365,40,0
4903365,50,3
4903365,69,0
4903365,62,0
4903365,31,1
4903365,24,0
4903365,39,1
4903365,91,0
4903365,64,3
4903365,10,0
4903365,44,0
4903365,1,2
4903365,70,0
4903365,90,0
4903365,37,0
4903365,18,3
4903365,17,3
4903365,8,3
4903365,16,1
4903365,76,0
4903365,106,1
4903365,78,0
4903365,35,3
4903365,6,3
4903365,52,0
4903365,9,0
4903365,100,2
4903365,84,1
4903365,65,0
4903365,73,0
4903365,80,0
4903365,105,1
4903365,47,3
4903365,94,0
4903365,34,0
4903365,60,0
4903365,74,0
4903365,51,1
4903365,89,3
4903365,32,0
4903365,81,0
4903365,33,0
4903365,15,1
4903365,13,1
4903365,5,0
4903365,97,1
4903365,68,0
4903365,21,0
4903365,99,1
4903365,45,1
4903365,88,0
4903365,85,1
4903365,54,0
4903365,93,0
4903365,43,0
4903365,63,3
4903365,12,1
4903365,107,3
4903365,71,1
4903365,95,0
4903365,30,0
4903365,98,3
4903365,4,0
4903365,57,3
4903365,3,0
4903365,22,0
4903365,41,0
4903365,56,0
4903365,28,0
4903365,38,3
3902559,68,0
3902559,99,0
3902559,11,0
3902559,52,0
3902559,22,0
3902559,18,0
3902559,36,0
3902559,21,0
3902559,94,0
3902559,56,0
3902559,29,0
3902559,42,0
3902559,51,0
3902559,13,0
3902559,67,0
3902559,48,0
