bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
8,3,300,18.304,-37.694,2022-02-07,94.62000274658203,1,1902380
8,4,300,18.521,-37.454,2022-02-17,115.02999877929688,1,1902380
9,5,340,18.624,-37.272,2022-02-27,115.97000122070312,1,1902380
7,43,260,17.7642,-39.5923,2023-03-14,112.04000091552734,1,1902380
7,75,260,18.0443,-45.3858,2024-01-27,100.13999938964844,1,1902380
6,80,220,17.1817,-45.7523,2024-03-17,141.97000122070312,1,1902380
10,80,380,17.1817,-45.7523,2024-03-17,141.97000122070312,1,1902380
7,81,260,16.9057,-45.4297,2024-03-27,126.06999969482422,1,1902380
11,45,420,16.7979,-37.7246,2023-04-02,104.08999633789062,0,1902381
8,9,300,17.827,-28.829,2022-04-06,91.88999938964844,1,1902382
6,16,220,17.982,-30.989,2022-06-15,30.040000915527344,1,1902382
7,17,260,17.857,-31.312,2022-06-25,62.11000061035156,1,1902382
6,47,220,18.6741,-32.0797,2023-04-21,90.81999969482422,1,1902382
10,55,380,19.3701,-31.2035,2023-07-10,60.019996643066406,NA,1902382
8,74,300,17.8174,-30.6958,2024-01-16,74.01000213623047,1,1902382
6,80,220,19.159300000000002,-30.289,2024-03-16,120.11000061035156,1,1902382
8,81,300,18.9851,-30.4114,2024-03-26,83.9000015258789,1,1902382
6,82,220,18.9317,-30.5442,2024-04-05,97.80000305175781,1,1902382
15,16,580,20.29,-38.965,2022-06-18,50,0,1902384
9,32,340,19.78,-38.157,2022-11-25,74.089996337890625,1,1902384
10,58,380,21.6632,-42.009,2023-08-11,58.08000183105469,1,1902384
7,83,260,20.7729,-41.1962,2024-04-17,112.12999725341797,1,1902384
7,2,260,-1.1311,65.0139,2023-06-11,82.5,0,1902453
7,24,260,-0.2538,65.1567,2024-01-17,77.98999786376953,0,1902453
10,36,380,-1.993,71.5785,2024-05-16,84.19000244140625,0,1902453
8,25,300,2.4554,62.2341,2024-01-29,56.15999984741211,0,1902454
8,32,300,2.9053,60.0211,2024-04-08,93.970001220703125,0,1902454
6,41,220,4.305,55.6639,2024-07-07,94.220001220703125,1,1902454
6,3,220,1.8557,65.3689,2023-06-22,44.310001373291016,1,1902455
6,10,220,1.7061,69.0922,2023-08-31,42.13999938964844,1,1902455
7,11,260,2.1408,69.0628,2023-09-10,34.189998626708984,0,1902455
6,34,220,3.0393,64.0241,2024-04-26,80.67000579833984,0,1902455
6,5,220,7.5833,67.6081,2023-07-13,76.05000305175781,1,1902457
6,14,220,7.3343,67.4861,2023-10-11,84.43000030517578,1,1902457
7,19,260,7.3454,66.2713,2023-11-30,104.12999725341797,0,1902457
6,22,220,6.6603,65.7204,2023-12-30,93.910003662109375,1,1902457
6,30,220,5.8801,66.1269,2024-03-19,100.08000183105469,1,1902457
8,2,300,1.8657,-3.0649,2024-02-21,32.25,1,1902492
8,3,300,1.8389,-2.8054,2024-03-02,38.2400016784668,1,1902492
8,13,300,1.2867,-2.798,2024-06-10,31.80000114440918,1,1902492
8,16,300,1.0638,-4.3383,2024-07-10,31.719999313354492,1,1902492
9,16,340,-47.0386,14.1025,2024-06-27,132.3800048828125,0,1902494
13,5,500,-19.4611,1.4377,2024-04-05,56,0,1902495
8,8,300,-19.4512,1.0634,2024-05-05,61.91999816894531,1,1902495
9,11,340,-19.4979,0.5765,2024-06-03,74.089996337890625,0,1902495
15,14,580,-19.9022,-73.1457,2024-04-30,36.22999954223633,0,1902644
15,18,580,-19.0806,-73.2081,2024-06-11,48.189998626708984,0,1902644
11,13,420,32.9011,-179.7784,2024-03-01,301.32000732421875,0,1902646
13,13,500,32.9011,-179.7784,2024-03-01,301.32000732421875,0,1902646
13,15,500,33.1333,-179.7645,2024-03-22,361.75,0,1902646
12,18,460,33.0534,-179.7606,2024-04-22,51.79999923706055,NA,1902646
14,19,540,32.7981,-179.7354,2024-05-02,80.83000183105469,0,1902646
7,8,260,-1.8303,178.7239,2023-05-15,160.40000915527344,NA,2903451
7,10,260,-1.3756,178.028,2023-06-04,180.3800048828125,0,2903451
12,42,460,-0.1408,148.2911,2024-04-20,90.160003662109375,0,2903451
13,49,500,-1.3162,155.2056,2024-06-29,112.63999938964844,0,2903451
17,44,660,-51.0826,156.8637,2024-06-16,381.239990234375,0,2903453
13,20,500,-64.912,158.877,2023-10-15,52.46999740600586,0,2903454
11,18,420,-56.8453,-130.0613,2023-12-03,7.71999979019165,1,2903455
10,21,380,-57.1665,-128.4998,2024-01-03,102.27000427246094,1,2903455
11,22,420,-57.2516,-127.9512,2024-01-13,97.5199966430664,0,2903455
11,24,420,-58.0493,-127.1579,2024-02-03,102.06999969482422,1,2903455
11,1,420,-55.053,-159.929,2023-06-09,131.9199981689453,0,2903456
13,6,500,-54.5421,-157.1615,2023-07-31,162.04000854492188,0,2903456
12,20,460,-53.7882,-141.5041,2023-12-22,67.4000015258789,1,2903456
12,28,460,-54.8873,-140.6695,2024-03-14,96.779998779296875,0,2903456
11,29,420,-53.9363,-141.3755,2024-03-24,122.09000396728516,0,2903456
18,30,700,-53.8458,-141.9022,2024-04-03,96.4000015258789,0,2903456
6,8,220,-9.8564,-91.5976,2023-07-24,68.089996337890625,NA,2903459
6,10,220,-9.8124,-91.7334,2023-08-13,71.4699935913086,1,2903459
6,21,220,-10.2173,-91.6688,2023-12-02,62.72999954223633,1,2903459
6,23,220,-9.6495,-91.1489,2023-12-23,67.970001220703125,NA,2903459
8,29,300,-9.3592,-91.7987,2024-02-22,72.5,NA,2903459
6,40,220,-10.0729,-93.477,2024-06-14,76.01000213623047,1,2903459
6,42,220,-9.6296,-93.2265,2024-07-05,66.04000091552734,1,2903459
7,8,260,-3.8166,-102.6497,2023-08-02,72.02000427246094,NA,2903461
6,16,220,-3.7406,-98.3746,2023-10-21,54.14999771118164,NA,2903461
7,19,260,-3.7495,-97.0524,2023-11-20,52.060001373291016,1,2903461
8,20,300,-4.0661,-96.8312,2023-12-01,47.94000244140625,1,2903461
8,25,300,-3.719,-96.182,2024-01-21,48.150001525878906,NA,2903461
7,30,260,-2.7455,-98.1712,2024-03-13,19.849998474121094,NA,2903461
13,35,500,-3.0956,-99.0352,2024-05-03,23.630001068115234,0,2903461
7,1,260,-0.0158,-99.6402,2023-05-26,65.970001220703125,1,2903462
7,2,260,-0.196,-99.6278,2023-06-05,55.720001220703125,1,2903462
8,5,300,-0.0012,-98.4319,2023-07-05,38.15999984741211,1,2903462
6,7,220,-0.3461,-97.5682,2023-07-25,57.779998779296875,1,2903462
7,7,260,-0.3461,-97.5682,2023-07-25,57.779998779296875,1,2903462
6,10,220,-0.5671,-97.9128,2023-08-24,21.94999885559082,1,2903462
8,13,300,0.8501,-98.4669,2023-09-23,54.099998474121094,NA,2903462
8,21,300,0.3305,-101.1613,2023-12-12,88.220001220703125,1,2903462
7,26,260,-0.2575,-103.4026,2024-01-31,32.040000915527344,1,2903462
7,28,260,-0.0238,-101.0926,2024-02-20,4.050000190734863,1,2903462
7,30,260,0.1592,-98.3814,2024-03-12,3.9800000190734863,1,2903462
7,35,260,0.4581,-100.1144,2024-05-01,38.25,1,2903462
7,36,260,0.4892,-101.3145,2024-05-11,36.15999984741211,1,2903462
10,2,380,3.8867,-100.3294,2023-06-06,73.55999755859375,1,2903463
10,4,380,4.0438,-100.7813,2023-06-26,103.88999938964844,0,2903463
9,6,340,3.9036,-100.2277,2023-07-16,63.400001525878906,1,2903463
6,7,220,3.5111,-99.9227,2023-07-26,85.68000030517578,1,2903463
7,7,260,3.5111,-99.9227,2023-07-26,85.68000030517578,1,2903463
8,14,300,4.3823,-98.0583,2023-10-05,73.8800048828125,NA,2903463
