bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
17,6,660,48.638,-14.899,2021-05-10,80.2699966430664,0,1902303
14,9,540,48.432,-15.033,2021-05-13,2.3299999237060547,1,1902303
14,56,540,44.805,-18.26,2021-11-07,70,0,1902303
14,2,540,48.87,-14.849,2021-05-06,44.2599983215332,NA,1902304
7,63,260,47.459,-15.999,2021-08-01,25.850000381469727,NA,1902304
13,144,500,52.3073,-15.2236,2023-11-10,122.30999755859375,0,1902304
13,145,500,52.6039,-15.2129,2023-11-20,126.26000213623047,0,1902304
8,164,300,57.4625,-19.7992,2024-05-30,56.2400016784668,1,1902304
8,2,300,18.183,-37.862,2022-01-28,76,1,1902380
8,3,300,18.304,-37.694,2022-02-07,94.62000274658203,1,1902380
8,4,300,18.521,-37.454,2022-02-17,115.02999877929688,1,1902380
9,5,340,18.624,-37.272,2022-02-27,115.97000122070312,1,1902380
8,6,300,18.507,-37.276,2022-03-09,104,1,1902380
8,9,300,17.422,-37.449,2022-04-08,108.08999633789062,1,1902380
13,9,500,17.422,-37.449,2022-04-08,108.08999633789062,0,1902380
16,9,620,17.422,-37.449,2022-04-08,108.08999633789062,0,1902380
8,14,300,17.746,-37.042,2022-05-28,44.04999923706055,1,1902380
7,16,260,17.744,-37.299,2022-06-17,46.65999984741211,1,1902380
12,16,460,17.744,-37.299,2022-06-17,46.65999984741211,0,1902380
8,23,300,18.732,-38.713,2022-08-26,51.980003356933594,1,1902380
10,27,380,18.095,-38.745,2022-10-05,48.18000030517578,1,1902380
15,28,580,17.93,-39.008,2022-10-15,58.16999816894531,0,1902380
7,38,260,17.389,-40.141,2023-01-23,99.87999725341797,1,1902380
8,38,300,17.389,-40.141,2023-01-23,99.87999725341797,1,1902380
8,39,300,17.132,-40.09,2023-02-02,112.11000061035156,1,1902380
9,40,340,17.124,-40.046,2023-02-12,107.87000274658203,1,1902380
8,41,300,17.262,-39.964,2023-02-22,108.08999633789062,1,1902380
7,43,260,17.7642,-39.5923,2023-03-14,112.04000091552734,1,1902380
10,43,380,17.7642,-39.5923,2023-03-14,112.04000091552734,0,1902380
9,44,340,17.9274,-39.3546,2023-03-24,108.0199966430664,1,1902380
8,46,300,17.8333,-39.1225,2023-04-13,85.970001220703125,1,1902380
10,49,380,17.5341,-38.7152,2023-05-13,39.95000076293945,1,1902380
8,51,300,17.992,-38.9831,2023-06-01,54.18000030517578,1,1902380
10,53,380,18.3511,-39.9653,2023-06-21,42.119998931884766,1,1902380
11,57,420,19.4146,-41.7786,2023-07-31,66.160003662109375,0,1902380
6,60,220,18.7711,-42.7198,2023-08-30,52.10000228881836,1,1902380
11,60,420,18.7711,-42.7198,2023-08-30,52.10000228881836,0,1902380
7,61,260,18.5424,-43.3076,2023-09-09,48.119998931884766,1,1902380
7,75,260,18.0443,-45.3858,2024-01-27,100.13999938964844,1,1902380
7,76,260,18.0009,-45.6263,2024-02-06,103.83000183105469,1,1902380
6,80,220,17.1817,-45.7523,2024-03-17,141.97000122070312,1,1902380
10,80,380,17.1817,-45.7523,2024-03-17,141.97000122070312,1,1902380
7,81,260,16.9057,-45.4297,2024-03-27,126.06999969482422,1,1902380
10,82,380,17.2687,-44.9885,2024-04-06,138.1199951171875,1,1902380
7,83,260,17.8073,-44.7529,2024-04-16,93.88999938964844,1,1902380
12,84,460,18.1814,-44.605,2024-04-26,150.08999633789062,0,1902380
6,92,220,18.2642,-42.9746,2024-07-15,91.5300064086914,1,1902380
8,93,300,18.4716,-42.8579,2024-07-25,77.970001220703125,1,1902380
6,4,220,16.346,-33.522,2022-02-16,91.87000274658203,1,1902381
12,4,460,16.346,-33.522,2022-02-16,91.87000274658203,0,1902381
9,14,340,16.075,-33.646,2022-05-27,42.03000259399414,1,1902381
8,15,300,16.274,-34.104,2022-06-06,49.95000076293945,1,1902381
8,19,300,16.723,-35.58,2022-07-16,42.02000045776367,1,1902381
8,20,300,16.5,-35.694,2022-07-26,45.79999923706055,1,1902381
7,21,260,16.14,-35.777,2022-08-05,46.11000061035156,NA,1902381
6,30,220,16.409,-36.202,2022-11-03,46.09000015258789,NA,1902381
8,40,300,16.137,-37.607,2023-02-11,109.8499984741211,1,1902381
7,41,260,15.942,-37.727,2023-02-21,111.62999725341797,1,1902381
9,42,340,15.902,-37.864,2023-03-03,84.11000061035156,1,1902381
