CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,SIGN_AOU,SIGN_SPIC,WMO
2,300,18.183,-37.862,2022-01-28,76,1,TRUE,TRUE,1902380
3,300,18.304,-37.694,2022-02-07,94.62000274658203,1,TRUE,TRUE,1902380
4,300,18.521,-37.454,2022-02-17,115.02999877929688,1,TRUE,TRUE,1902380
45,420,16.7979,-37.7246,2023-04-02,104.08999633789062,0,TRUE,TRUE,1902381
80,220,19.159300000000002,-30.289,2024-03-16,120.11000061035156,1,TRUE,TRUE,1902382
16,580,20.29,-38.965,2022-06-18,50,0,TRUE,TRUE,1902384
22,540,-19.8473,-72.6743,2024-07-22,82.20999908447266,0,TRUE,TRUE,1902644
44,420,-51.0826,156.8637,2024-06-16,381.239990234375,0,TRUE,TRUE,2903453
44,660,-51.0826,156.8637,2024-06-16,381.239990234375,0,TRUE,TRUE,2903453
19,540,-64.857,158.601,2023-10-05,82.52000427246094,0,TRUE,TRUE,2903454
20,500,-64.912,158.877,2023-10-15,52.46999740600586,0,TRUE,TRUE,2903454
18,420,-56.8453,-130.0613,2023-12-03,7.71999979019165,1,TRUE,TRUE,2903455
18,460,-56.8453,-130.0613,2023-12-03,7.71999979019165,0,TRUE,TRUE,2903455
19,420,-57.0471,-129.366,2023-12-13,91.83000183105469,1,TRUE,TRUE,2903455
21,380,-57.1665,-128.4998,2024-01-03,102.27000427246094,1,TRUE,TRUE,2903455
22,420,-57.2516,-127.9512,2024-01-13,97.5199966430664,0,TRUE,TRUE,2903455
24,420,-58.0493,-127.1579,2024-02-03,102.06999969482422,1,TRUE,TRUE,2903455
29,460,-58.0065,-124.9643,2024-03-25,92,1,TRUE,TRUE,2903455
1,420,-55.053,-159.929,2023-06-09,131.9199981689453,0,TRUE,TRUE,2903456
6,500,-54.5421,-157.1615,2023-07-31,162.04000854492188,0,TRUE,TRUE,2903456
9,660,-53.4591,-154.0051,2023-08-31,161.55999755859375,0,TRUE,TRUE,2903456
10,420,-53.4368,-151.8486,2023-09-10,201.33999633789062,1,TRUE,TRUE,2903456
10,660,-53.4368,-151.8486,2023-09-10,201.33999633789062,1,TRUE,TRUE,2903456
30,700,-53.8458,-141.9022,2024-04-03,96.4000015258789,0,TRUE,TRUE,2903456
7,220,3.5111,-99.9227,2023-07-26,85.68000030517578,1,TRUE,TRUE,2903463
24,220,-4.1344,84.9126,2024-01-26,66.20999908447266,NA,TRUE,TRUE,2903465
41,260,-4.6619,87.3281,2024-07-14,55.96999740600586,1,TRUE,TRUE,2903465
11,460,1.2976,78.3782,2023-10-12,61.90999984741211,0,TRUE,TRUE,2903466
37,340,0.8291,70.0454,2024-06-29,79.660003662109375,0,TRUE,TRUE,2903466
11,420,-10.1793,88.6109,2023-10-16,106.29999542236328,0,TRUE,TRUE,2903467
27,220,-10.6619,92.2907,2024-03-24,31.989999771118164,0,TRUE,TRUE,2903467
27,340,-10.6619,92.2907,2024-03-24,31.989999771118164,1,TRUE,TRUE,2903467
29,380,-10.0245,91.6955,2024-04-13,42.21999740600586,0,TRUE,TRUE,2903467
16,220,-18.9314,100.8703,2023-12-08,31.899999618530273,1,TRUE,TRUE,2903468
24,220,-17.6441,102.7967,2024-02-28,76.70999908447266,1,TRUE,TRUE,2903468
24,380,-17.6441,102.7967,2024-02-28,76.70999908447266,1,TRUE,TRUE,2903468
29,260,-18.1446,101.5234,2024-04-20,48.1099967956543,1,TRUE,TRUE,2903468
30,260,-18.4863,101.0656,2024-04-30,55.92000198364258,1,TRUE,TRUE,2903468
2,420,-46.0994,-28.5955,2023-10-12,171.97000122070312,0,TRUE,TRUE,2903473
5,460,-44.8723,-28.4891,2023-11-12,47.13999938964844,0,TRUE,TRUE,2903473
14,500,-46.8269,-18.522,2024-02-12,50.15999984741211,0,TRUE,TRUE,2903473
8,340,-15.9369,-82.4827,2024-02-21,34.119998931884766,1,TRUE,TRUE,2903858
6,220,-64.4299,143.8481,2024-03-17,67.29000091552734,0,TRUE,TRUE,2903867
98,220,30.6883,-75.0311,2023-11-28,85.80000305175781,1,TRUE,TRUE,4903274
2,260,59.774,-39.151,2021-08-23,38.11000061035156,0,TRUE,TRUE,4903365
8,380,58.946,-42.553,2021-10-22,94.0199966430664,0,TRUE,TRUE,4903365
12,540,57.685,-44.893,2021-12-01,158.4199981689453,0,TRUE,TRUE,4903365
12,580,57.685,-44.893,2021-12-01,158.4199981689453,0,TRUE,TRUE,4903365
13,300,57.894,-41.765,2021-12-11,180.55999755859375,0,TRUE,TRUE,4903365
15,500,58.357,-39.738,2021-12-31,204.52999877929688,0,TRUE,TRUE,4903365
18,420,57.971,-41.585,2022-01-30,312.4700012207031,0,TRUE,TRUE,4903365
39,340,58.415,-42.676,2022-08-28,46.279998779296875,0,TRUE,TRUE,4903365
39,380,58.415,-42.676,2022-08-28,46.279998779296875,0,TRUE,TRUE,4903365
40,340,58.823,-40.996,2022-09-07,52.369998931884766,0,TRUE,TRUE,4903365
45,460,58.426,-40.751,2022-10-27,52.22999954223633,0,TRUE,TRUE,4903365
48,220,57.965,-40.155,2022-11-26,102.4800033569336,1,TRUE,TRUE,4903365
49,260,57.369,-40.643,2022-12-06,142.83999633789062,1,TRUE,TRUE,4903365
51,380,57.089,-40.769,2022-12-26,146.39999389648438,0,TRUE,TRUE,4903365
