PRES_ADJUSTED,CYCLE_NUMBER,LONGITUDE,LATITUDE,TIME,AOU,SPIC,BBP700_ADJUSTED,bin,OUT.S,OUT.T,WMO
500,21,75.40187066666667,-48.2073295,2023-07-30,-8.438490196471653,-4.13987597424716,6.033473774641099,14,1,1,1902593
660,21,75.40187066666667,-48.2073295,2023-07-30,-6.282123664696135,-9.152281125888106,2.003256470404036,18,1,1,1902593
460,47,93.10430766666666,-50.34017683333333,2024-04-15,-6.399696569228869,-4.567546715986062,2.6504772771097347,12,1,1,1902593
460,28,-140.6695,-54.8873,2024-03-14,-5.338179745004066,-3.333378355376989,2.5622958913163454,12,1,1,2903456
700,30,-141.9022,-53.8458,2024-04-03,-4.485896036544775,-3.5354653728772703,2.359109532957122,18,1,1,2903456
220,7,-99.9227,3.5111,2023-07-26,-7.883588767770471,6.285154833786973,4.937824117835382,6,1,1,2903463
300,13,-41.765,57.894,2021-12-11,-5.345763659992287,-9.987315556588033,1.0456389963603274,8,1,1,4903365
460,45,-40.751,58.426,2022-10-27,-4.310092615342591,-4.106761752251851,1.1201391018651001,12,1,1,4903365
220,48,-40.155,57.965,2022-11-26,-4.093426653192944,-6.532677750377218,1.6653593584730704,6,1,1,4903365
380,51,-40.769,57.089,2022-12-26,-3.783505642338887,-5.85171170563904,1.4317936477036257,10,1,1,4903365
260,77,-39.9908,55.7492,2023-09-12,-4.585112592958137,-5.1156135578389,2.234956207681331,7,1,1,4903365
260,84,-37.5422,54.9182,2023-11-21,-4.161041814578438,-4.770131695674349,3.9592762095272658,7,1,1,4903365
220,86,-37.8021,55.301,2023-12-11,-3.4041374956776287,-4.395264819291272,1.61750606989493,6,1,1,4903365
220,54,58.724,19.508,2012-09-17,-5.327545108358487,3.6016683321839453,1.025653556276206,6,1,1,5903586
460,129,-127.449,-56.552,2013-12-30,-3.3918628207270216,-5.025626501069232,1.7794529419646254,12,1,1,5903718
660,135,-125.393,-58.233,2014-01-30,-3.924954566632562,-4.879688987087076,2.5813359734039363,17,1,1,5903718
540,136,-125.877,-58.472,2014-02-04,-6.257795674352576,-11.264769991146316,1.2249023292260937,14,1,1,5903718
420,67,-166.151,-55.723,2016-02-06,-8.837579484099516,-4.02827283394323,1.316503278594116,11,1,1,5904179
420,74,-168.111,-55.318,2016-04-18,-8.523164696593078,-4.906201610783389,3.148495629649182,11,1,1,5904179
380,82,-167.252,-54.851,2016-07-09,-4.326607686730258,-5.4975558145693775,3.380718339001983,10,1,1,5904179
260,106,-162.928,-54.562,2017-03-14,-4.5881030215945495,-4.791460323474756,2.7657242923615173,7,1,1,5904179
380,114,-157.857,-54.255,2017-06-04,-4.316374636568307,-4.957411859448939,1.6696674907991138,10,1,1,5904179
380,122,-146.383,-54.96,2017-08-26,-3.375831727412141,-3.796226301205799,1.3697072590818165,10,1,1,5904179
420,122,-146.383,-54.96,2017-08-26,-4.065968168378912,-6.503760700614122,1.307085921788485,11,1,1,5904179
220,123,-141.335,-56.066,2017-09-06,-11.458671467039004,-13.26304027420177,10.04861990637293,6,1,1,5904179
220,130,-130.374,-57.588,2017-11-17,-3.997476334725989,-4.86296661837145,1.393471996005129,6,1,1,5904179
420,135,-127.179,-59.371,2018-01-08,-8.29177888460553,-5.557538630083281,1.1436058620486091,11,1,1,5904179
460,136,-124.544,-60.158,2018-01-18,-6.428816863481063,-3.7132279454193475,1.6377812587338267,12,1,1,5904179
420,36,-119.544,-60.297,2015-04-04,-4.04575563700843,-4.567729652476408,2.140856827785853,11,1,1,5904185
420,44,-114.284,-62.647,2015-06-25,-6.9299150675969665,-5.16698504907402,1.0278528406471763,11,1,1,5904185
