WMO,Cycle,Category,CYCLE_NUMBER,LATITUDE,LONGITUDE,TIME
2903395,145,0,145,35.861,143.809,2021-03-28
6901578,132,1,132,-43.981676666666665,64.806745,2016-10-16
6901578,133,1,133,-44.191125,65.37532166666666,2016-10-19
6901578,198,1,198,-48.265206666666664,86.89895,2017-03-30
6901578,315,1,315,-47.698775,119.05935166666669,2018-08-28
6903568,2,0,2,69.3761,3.04929,2020-05-22
6903568,7,0,7,69.32816,3.60144,2020-06-17
6903568,24,0,24,69.8157,2.29941,2020-09-10
6903568,14,0,14,69.9054,4.12199,2020-07-22
6903568,31,0,31,70.14137,2.31182,2020-10-15
6903568,34,0,34,69.71838,1.67596,2020-10-30
6903568,11,0,11,69.41893,3.74716,2020-07-07
6903568,5,0,5,69.46465,3.44126,2020-06-07
3901497,195,1,195,-33.92242,-13.769821666666669,2017-01-29
3901497,191,1,191,-33.89766,-13.319765,2017-01-09
5904980,88,2,88,-57.905,-34.62,2019-06-05
5904980,94,1,94,-57.452,-30.651,2019-08-05
6902549,49,1,49,67.888,-6.791,2015-06-30
6902549,221,2,221,71.862,5.765,2017-11-06
6902549,35,1,35,70.948,-4.317,2015-04-21
6902549,224,0,224,71.424,6.743,2017-11-22
6903874,103,2,103,-1.4877216666666666,-0.7486116666666667,2023-08-31
6903874,105,2,105,-1.526371666666667,-1.7972833333333331,2023-09-20
5906032,84,1,84,-45.51,84.444,2021-08-21
5905982,8,0,8,-32.924,-35.05,2018-12-30
5905982,69,0,69,-35.752,-46.39,2020-09-03
5905982,70,1,70,-35.355,-47.087,2020-09-13
5905982,65,1,65,-34.907,-47.31,2020-07-25
5905982,39,0,39,-31.527,-45.15,2019-11-06
5905982,105,0,105,-38.282,-52.042,2021-08-31
4903365,27,2,27,61.468,-38.197,2022-04-30
4903365,58,1,58,57.287,-39.752,2023-03-06
4903365,32,0,32,60.89,-40.618,2022-06-19
4903365,88,1,88,55.0336,-37.7786,2023-12-31
5906541,56,2,56,-39.3298,-43.6611,2024-05-29
6903549,220,0,220,69.06364833333333,-4.545351666666667,2022-05-14
6903549,99,0,99,65.78554166666666,-1.1309166666666668,2020-09-16
1902491,10,0,10,-52.1689,8.8707,2024-06-15
5906043,177,0,177,5.551,-131.216,2022-03-13
5906043,122,0,122,5.574,-127.263,2021-06-02
5905371,122,1,122,-55.415,-137.31,2021-05-26
5905371,140,1,140,-54.148,-107.792,2021-11-23
2903472,8,1,8,-36.94,13.6726,2023-12-05
2903472,12,1,12,-38.7709,17.8914,2024-01-15
2903472,30,1,30,-38.3498,32.7023,2024-07-17
5905991,108,0,108,-60.014,-23.265,2022-01-05
5905991,78,2,78,-58.402,-31.121,2021-03-09
5906636,123,1,123,-44.512928333333335,145.91758833333333,2024-05-01
5906636,108,1,108,-45.364198333333334,145.02657833333333,2023-12-03
5906636,126,0,126,-44.274636666666666,144.56302833333334,2024-05-29
5906636,121,1,121,-45.3401,145.0778216666667,2024-04-11
5906636,106,0,106,-46.47867333333333,145.210195,2023-11-13
