WMO,CYCLE_NUMBER,Category,bin,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM
1901339,376,2,11,420,-49.143,77.428,2014-05-20,102.15999603271484,1
1901339,410,1,10,380,-48.596,79.253,2014-05-30,141.35000610351562,1
1901339,431,2,12,460,-48.381,78.683,2014-06-05,111.6300048828125,1
1901339,448,2,11,420,-47.86,79.026,2014-06-10,161.52000427246094,1
1901339,481,2,10,380,-47.991,80.728,2014-06-20,141.8699951171875,1
1901339,513,1,8,300,-49.418,81.718,2014-06-30,129.55999755859375,1
1901339,529,1,11,420,-48.888,81.286,2014-07-05,161.83999633789062,1
1901339,529,1,12,460,-48.888,81.286,2014-07-05,161.83999633789062,1
1901339,560,1,11,420,-47.669562978380185,82.81673617098325,2014-07-15,121.47999572753906,1
1901339,576,1,13,500,-47.387,83.937,2014-07-20,211.75,1
1901339,623,1,12,460,-48.43762908258566,86.52648456117477,2014-08-05,331.05999755859375,0
1901339,623,1,13,500,-48.43762908258566,86.52648456117477,2014-08-05,331.05999755859375,0
1901339,637,1,12,460,-47.99436561384724,87.77439393342381,2014-08-10,311.760009765625,0
1901339,652,2,14,540,-47.941,89.009,2014-08-15,281.32000732421875,1
1901339,682,1,14,540,-47.204,88.855,2014-08-25,301.4700012207031,0
1901339,682,1,16,620,-47.204,88.855,2014-08-25,301.4700012207031,0
1902332,2,1,6,220,-12,79.837,2019-12-19,136.61000061035156,1
1902332,2,1,7,260,-12,79.837,2019-12-19,136.61000061035156,1
1902332,3,1,6,220,-11.959,79.762,2019-12-20,141.58999633789062,1
1902332,3,1,7,260,-11.959,79.762,2019-12-20,141.58999633789062,1
1902332,4,2,6,220,-11.919,79.691,2019-12-21,142.49000549316406,1
1902332,4,2,7,260,-11.919,79.691,2019-12-21,142.49000549316406,1
1902332,5,1,7,260,-11.887,79.621,2019-12-22,138.1199951171875,1
1902332,6,1,7,260,-11.851,79.569,2019-12-23,142.32000732421875,1
1902332,8,1,7,260,-11.792,79.471,2019-12-25,142.36000061035156,1
1902332,10,1,7,260,-11.76,79.368,2019-12-27,143.97999572753906,1
1902332,11,1,7,260,-11.745,79.308,2019-12-28,137.77000427246094,1
1902332,12,2,7,260,-11.725,79.254,2019-12-29,140,1
1902332,15,1,7,260,-11.675,79.088,2020-01-01,137.61000061035156,1
1902332,16,1,7,260,-11.659,79.042,2020-01-02,142.07000732421875,1
1902332,24,1,6,220,-11.5,78.668,2020-01-10,138.11000061035156,1
1902332,24,1,7,260,-11.5,78.668,2020-01-10,138.11000061035156,1
1902332,25,2,6,220,-11.47,78.627,2020-01-11,125.83999633789062,1
1902332,25,2,7,260,-11.47,78.627,2020-01-11,125.83999633789062,1
1902332,26,2,6,220,-11.434,78.581,2020-01-12,136.02000427246094,1
1902332,28,2,6,220,-11.374,78.504,2020-01-14,139.9099884033203,1
1902332,28,2,7,260,-11.374,78.504,2020-01-14,139.9099884033203,1
1902332,29,2,6,220,-11.342,78.468,2020-01-15,135.9499969482422,1
1902332,29,2,7,260,-11.342,78.468,2020-01-15,135.9499969482422,1
1902332,30,2,6,220,-11.192,78.285,2020-01-19,127.87999725341795,1
1902332,31,1,7,260,-11.056,78.14,2020-01-24,121.93000030517578,1
1902332,32,1,7,260,-10.938,77.976,2020-01-28,119.77000427246094,1
1902332,37,1,7,260,-10.634,77.763,2020-02-18,69.970001220703125,0
1902332,39,1,6,220,-10.814,77.776,2020-02-27,117.88999938964844,1
1902332,48,1,6,220,-10.72,78.572,2020-04-06,66.910003662109375,1
1902332,58,1,6,220,-11.459,79.835,2020-05-18,70.220001220703125,1
1902332,59,1,6,220,-11.484,79.865,2020-05-23,58.0099983215332,1
1902332,60,1,6,220,-11.518,79.893,2020-05-27,64.18000030517578,1
1902332,65,1,6,220,-11.622,80.127,2020-06-17,77.68000030517578,1
1902332,100,1,8,300,-13.491,82.628,2020-11-14,79.78999328613281,0
1902332,100,1,9,340,-13.491,82.628,2020-11-14,79.78999328613281,0
1902332,101,2,9,340,-13.407,82.817,2020-11-18,89.83000183105469,0
1902332,102,1,9,340,-13.316,83.086,2020-11-23,95.81000518798828,0
1902332,103,1,10,380,-13.273,83.357,2020-11-27,96.08000183105467,0
1902332,104,2,10,380,-13.264,83.656,2020-12-01,114.30999755859376,0
1902332,107,2,10,380,-13.377,84.475,2020-12-14,109.83000183105467,0
1902332,110,2,10,380,-13.754,84.823,2020-12-27,104.0199966430664,0
1902332,112,2,6,220,-13.875,84.836,2021-01-04,96.01000213623048,1
1902332,113,1,6,220,-13.827,84.758,2021-01-09,110.81999969482422,1
1902332,113,1,9,340,-13.827,84.758,2021-01-09,110.81999969482422,0
1902332,117,2,9,340,-13.473,83.87,2021-01-26,88.149993896484375,0
1902332,118,1,7,260,-13.374,83.567,2021-01-30,87.77000427246094,1
1902332,124,2,8,300,-13.083,81.52,2021-02-25,62.040000915527344,0
1902332,125,1,8,300,-13.08,81.207,2021-03-01,53.97999954223633,0
1902332,143,1,6,220,-12.968,78.01,2021-05-17,92.27000427246094,1
1902332,143,1,7,260,-12.968,78.01,2021-05-17,92.27000427246094,1
1902332,146,1,7,260,-12.468,77.346,2021-05-30,63.62999725341797,1
1902332,147,2,7,260,-12.343,77.149,2021-06-03,71.87000274658203,1
1902332,147,2,8,300,-12.343,77.149,2021-06-03,71.87000274658203,0
1902332,147,2,9,340,-12.343,77.149,2021-06-03,71.87000274658203,0
1902332,148,1,8,300,-12.246,77.002,2021-06-08,77.52000427246094,1
1902332,148,1,9,340,-12.246,77.002,2021-06-08,77.52000427246094,0
1902332,148,1,10,380,-12.246,77.002,2021-06-08,77.52000427246094,0
1902332,149,2,8,300,-12.15,76.917,2021-06-12,83.76000213623047,0
1902332,149,2,10,380,-12.15,76.917,2021-06-12,83.76000213623047,0
1902332,154,1,7,260,-11.888,77.149,2021-07-03,69.51000213623047,1
1902332,154,1,8,300,-11.888,77.149,2021-07-03,69.51000213623047,0
1902332,154,1,9,340,-11.888,77.149,2021-07-03,69.51000213623047,0
1902332,155,1,7,260,-11.92,77.277,2021-07-08,75.87999725341797,1
1902332,155,1,8,300,-11.92,77.277,2021-07-08,75.87999725341797,0
1902332,155,1,9,340,-11.92,77.277,2021-07-08,75.87999725341797,0
1902332,156,1,7,260,-11.991,77.358,2021-07-12,85.66999816894531,1
1902332,156,1,8,300,-11.991,77.358,2021-07-12,85.66999816894531,1
1902332,156,1,9,340,-11.991,77.358,2021-07-12,85.66999816894531,0
1902332,158,1,7,260,-12.28,77.446,2021-07-20,77.93000030517578,1
1902332,159,1,6,220,-12.448,77.456,2021-07-25,78.16999816894531,1
1902332,160,1,6,220,-12.59,77.498,2021-07-29,74.0199966430664,1
1902332,161,2,8,300,-12.689,77.56,2021-08-02,73.76000213623047,0
1902332,175,2,6,220,-12.145,78.555,2021-10-01,81.9000015258789,1
1902332,175,2,10,380,-12.145,78.555,2021-10-01,81.9000015258789,0
1902332,175,2,11,420,-12.145,78.555,2021-10-01,81.9000015258789,0
1902332,176,2,8,300,-12.33,78.508,2021-10-05,71.9800033569336,0
1902332,176,2,11,420,-12.33,78.508,2021-10-05,71.9800033569336,0
1902332,176,2,12,460,-12.33,78.508,2021-10-05,71.9800033569336,0
1902332,189,1,6,220,-13.332,78.017,2021-11-30,89.8800048828125,1
1902332,189,1,11,420,-13.332,78.017,2021-11-30,89.8800048828125,0
1902332,198,1,6,220,-13.983,78.035,2022-01-08,56.060001373291016,1
1902380,3,2,8,300,18.304,-37.694,2022-02-07,94.62000274658205,1
1902380,4,2,8,300,18.521,-37.454,2022-02-17,115.02999877929688,1
