CYCLE_NUMBER,LATITUDE,LONGITUDE,WMO,Category,TIME,PRES_ADJUSTED,CONSISTENT_ANOM
217,-50.829,81.779,1901329,4,2012-01-31,260,1
249,-52.437,88.746,1901329,4,2012-02-16,260,1
299,-50.359,88.08,1901329,4,2012-03-11,300,0
438,-51.875,87.39,1901338,0,2014-05-31,340,1
474,-51.08,90.829,1901338,0,2014-06-10,420,1
491,-52.064,92.25,1901338,0,2014-06-15,580,1
665,-53.42361853484945,91.1560488203534,1901338,0,2014-08-11,420,1
700,-53.699,91.179,1901338,0,2014-08-22,220,1
84,-48.089,75.413,1901339,0,2014-02-25,220,0
342,-47.945,78.854,1901339,1,2014-05-10,460,1
393,-49.127,79.484,1901339,4,2014-05-25,380,1
410,-48.596,79.253,1901339,2,2014-05-30,380,1
448,-47.86,79.026,1901339,0,2014-06-10,420,1
513,-49.418,81.718,1901339,4,2014-06-30,260,0
529,-48.888,81.286,1901339,0,2014-07-05,420,1
567,-47.33850329626993,83.19614637410308,1901339,3,2014-07-17,380,1
576,-47.387,83.937,1901339,2,2014-07-20,500,1
592,-48.32056891830313,85.07910662831806,1901339,0,2014-07-26,380,1
605,-48.30194965025114,85.64162098023594,1901339,0,2014-07-30,420,0
607,-48.29401579404736,85.74478835976538,1901339,2,2014-07-31,380,0
608,-48.289,85.812,1901339,3,2014-07-31,420,0
609,-48.271,85.913,1901339,2,2014-08-01,420,0
611,-48.287,86.184,1901339,2,2014-08-01,340,0
613,-48.3244740584798,86.3194427328705,1901339,1,2014-08-02,300,1
616,-48.398,86.436,1901339,0,2014-08-03,380,1
619,-48.412,86.436,1901339,1,2014-08-04,300,0
620,-48.42,86.427,1901339,0,2014-08-04,420,0
622,-48.433,86.463,1901339,1,2014-08-05,380,0
623,-48.43762908258566,86.52648456117477,1901339,1,2014-08-05,260,0
628,-48.382,86.794,1901339,0,2014-08-07,300,0
632,-48.3,87.141,1901339,2,2014-08-08,260,0
634,-48.221,87.348,1901339,0,2014-08-09,420,1
636,-48.11,87.568,1901339,2,2014-08-10,420,1
637,-47.99436561384724,87.77439393342381,1901339,0,2014-08-10,260,0
638,-47.938,87.875,1901339,1,2014-08-11,300,0
639,-47.871,87.969,1901339,1,2014-08-11,300,0
641,-47.75,88.223,1901339,1,2014-08-12,300,0
643,-47.689,88.486,1901339,2,2014-08-12,300,0
645,-47.69,88.709,1901339,2,2014-08-13,300,0
